Algorithm,Dataset,Time
LASSO,MTBLS38,4.97299981117
AdaBoost,MTBLS38,45.0529999733
XGB,MTBLS38,66.8650000095
SVR,MTBLS38,10.7030000687
BRR,MTBLS38,15.9200000763
RF,MTBLS38,48.2479999065
ANN,MTBLS38,24.5690000057
LASSO,LIFE_new,4.36100006104
AdaBoost,LIFE_new,62.867000103
XGB,LIFE_new,163.766000032
SVR,LIFE_new,37.1480000019
BRR,LIFE_new,14.6400001049
RF,LIFE_new,50.5099999905
ANN,LIFE_new,28.3199999332
LASSO,Matsuura,4.85299992561
AdaBoost,Matsuura,55.0690000057
XGB,Matsuura,125.34100008
SVR,Matsuura,13.8840000629
BRR,Matsuura,22.5520000458
RF,Matsuura,49.5059998035
ANN,Matsuura,37.5520000458
LASSO,Nikiforos,4.19000005722
AdaBoost,Nikiforos,48.4210000038
XGB,Nikiforos,65.878000021
SVR,Nikiforos,11.4319999218
BRR,Nikiforos,15.9889998436
RF,Nikiforos,44.2319998741
ANN,Nikiforos,23.9350001812
LASSO,IPB_Halle,4.29500007629
AdaBoost,IPB_Halle,48.2039999962
XGB,IPB_Halle,78.0299999714
SVR,IPB_Halle,11.0829999447
BRR,IPB_Halle,16.5339999199
RF,IPB_Halle,42.8680000305
ANN,IPB_Halle,23.6499998569
LASSO,Toshimitsu,4.27200007439
AdaBoost,Toshimitsu,46.8150000572
XGB,Toshimitsu,91.9210000038
SVR,Toshimitsu,11.4370000362
BRR,Toshimitsu,15.2509999275
RF,Toshimitsu,45.4459998608
ANN,Toshimitsu,24.7809998989
LASSO,Otto,4.38399982452
AdaBoost,Otto,41.8270001411
XGB,Otto,55.260999918
SVR,Otto,10.7590000629
BRR,Otto,13.5660002232
RF,Otto,41.9839999676
ANN,Otto,22.2730000019
LASSO,UniToyama_Atlantis,4.38899993896
AdaBoost,UniToyama_Atlantis,55.0319998264
XGB,UniToyama_Atlantis,116.848999977
SVR,UniToyama_Atlantis,13.2720000744
BRR,UniToyama_Atlantis,15.4179999828
RF,UniToyama_Atlantis,42.2269999981
ANN,UniToyama_Atlantis,26.5379998684
LASSO,FEM_orbitrap_urine,4.63700008392
AdaBoost,FEM_orbitrap_urine,48.2400000095
XGB,FEM_orbitrap_urine,128.794999838
SVR,FEM_orbitrap_urine,12.3350000381
BRR,FEM_orbitrap_urine,14.4869999886
RF,FEM_orbitrap_urine,45.7090001106
ANN,FEM_orbitrap_urine,26.0390000343
LASSO,Matsuura_15,4.32899999619
AdaBoost,Matsuura_15,45.2200000286
XGB,Matsuura_15,50.5700001717
SVR,Matsuura_15,11.3599998951
BRR,Matsuura_15,16.8129999638
RF,Matsuura_15,47.6779999733
ANN,Matsuura_15,23.3940000534
LASSO,Stravs,5.00099992752
AdaBoost,Stravs,96.3650000095
XGB,Stravs,358.60800004
SVR,Stravs,200.789999962
BRR,Stravs,17.8190000057
RF,Stravs,48.9479999542
ANN,Stravs,46.867000103
LASSO,Beck,4.8220000267
AdaBoost,Beck,67.4570000172
XGB,Beck,288.127000093
SVR,Beck,115.585000038
BRR,Beck,17.621999979
RF,Beck,50.1159999371
ANN,Beck,42.0359997749
LASSO,Ales_18,4.76099991798
AdaBoost,Ales_18,39.746999979
XGB,Ales_18,115.660000086
SVR,Ales_18,11.381000042
BRR,Ales_18,14.5069999695
RF,Ales_18,46.0520000458
ANN,Ales_18,27.7460000515
LASSO,FEM_lipids,4.32999992371
AdaBoost,FEM_lipids,45.6289999485
XGB,FEM_lipids,73.0090000629
SVR,FEM_lipids,11.1169998646
BRR,FEM_lipids,14.3170001507
RF,FEM_lipids,45.5569999218
ANN,FEM_lipids,23.6089999676
LASSO,Krauss,4.08300018311
AdaBoost,Krauss,42.1710000038
XGB,Krauss,59.3840000629
SVR,Krauss,10.5899999142
BRR,Krauss,14.0550000668
RF,Krauss,46.5039999485
ANN,Krauss,22.3619999886
LASSO,RIKEN,4.46300005913
AdaBoost,RIKEN,78.9800000191
XGB,RIKEN,282.756999969
SVR,RIKEN,192.04700017
BRR,RIKEN,18.0180001259
RF,RIKEN,49.760999918
ANN,RIKEN,44.4570000172
LASSO,Takahashi,5.10500001907
AdaBoost,Takahashi,62.7929999828
XGB,Takahashi,268.088999987
SVR,Takahashi,19.7820000648
BRR,Takahashi,22.8220000267
RF,Takahashi,57.0260000229
ANN,Takahashi,72.5120000839
LASSO,Krauss_21,5.4319999218
AdaBoost,Krauss_21,67.0920000076
XGB,Krauss_21,189.163000107
SVR,Krauss_21,44.1430001259
BRR,Krauss_21,15.5999999046
RF,Krauss_21,48.996999979
ANN,Krauss_21,29.6749999523
LASSO,UFZ_Phenomenex,5.80399990082
AdaBoost,UFZ_Phenomenex,83.8209998608
XGB,UFZ_Phenomenex,256.503999949
SVR,UFZ_Phenomenex,144.279000044
BRR,UFZ_Phenomenex,18.995000124
RF,UFZ_Phenomenex,51.5909998417
ANN,UFZ_Phenomenex,44.7749998569
LASSO,FEM_orbitrap_plasma,6.17100000381
AdaBoost,FEM_orbitrap_plasma,31.7880001068
XGB,FEM_orbitrap_plasma,111.410000086
SVR,FEM_orbitrap_plasma,12.4579999447
BRR,FEM_orbitrap_plasma,14.3269999027
RF,FEM_orbitrap_plasma,48.4589998722
ANN,FEM_orbitrap_plasma,26.3179998398
LASSO,MTBLS36,4.22500014305
AdaBoost,MTBLS36,36.7700002193
XGB,MTBLS36,86.7249999046
SVR,MTBLS36,11.7009999752
BRR,MTBLS36,16.0840001106
RF,MTBLS36,57.2330000401
ANN,MTBLS36,26.6619999409
LASSO,Taguchi,5.1179997921
AdaBoost,Taguchi,45.5
XGB,Taguchi,51.3250000477
SVR,Taguchi,10.9129998684
