Dataset,GB,ANN,AB,BRR,LASSO,RF,SVR
FEM_orbitrap_plasma,2.3674457,3.4064747,3.701368,4.2424014,4.0316923,3.481293,3.7775404
MTBLS38,8.3917906,9.1878554,7.789284,12.3107706,14.2458022,13.804689,13.9746553
FEM_long,3.1936903,4.4793083,5.458067,5.5213235,5.4496012,3.825688,4.8571155
FEM_lipids,3.8412316,3.3925186,3.666841,6.8161834,6.6928966,6.015497,6.7206034
UniToyama_Atlantis,3.9439025,3.5278967,3.734268,3.1177031,3.5222013,3.624987,3.5040648
FEM_short,6.9651443,7.36319,7.495797,8.5144291,8.4030377,9.765402,8.0833355
MTBLS87,4.5614673,4.8028344,6.048387,5.6129833,6.4170603,4.830037,5.1014792
Takahashi,3.0713822,3.3856367,2.144589,2.9010036,3.114262,2.881217,5.3955308
Krauss_21,6.0833315,10.0795941,7.478348,6.6934631,6.6465999,6.827429,5.7260038
Taguchi,0.4855296,2.2091454,1.100334,0.7149973,0.6151155,1.838431,0.4279346
MTBLS20,5.1853816,6.3352482,4.895899,8.1987118,9.440495,6.959206,8.5200974
UFZ_Phenomenex,6.1818119,11.4185563,7.943038,6.5655768,6.748509,6.494867,5.2883291
Taguchi_12,2.1386998,1.4688746,3.911104,3.1964723,3.2115816,2.55065,2.5979438
IPB_Halle,2.7596571,1.7255451,3.290541,2.953838,3.905483,3.972541,3.5234903
Nikiforos,4.6617965,5.6846667,4.859155,7.8451427,7.166082,6.388141,5.3119458
Eawag_XBridgeC18,6.1881202,6.9217498,8.263588,7.337399,7.6311822,8.110756,8.2258008
Ales_18,16.104542,18.3166216,15.491039,18.3839556,18.9328206,16.642376,15.56477
Beck,6.1006925,5.132466,7.241715,5.0221105,5.4238806,6.887858,6.0663818
kohlbacher,1.533713,0.8134415,2.85,1.0968075,1.3441415,2.218935,1.1971712
FEM_orbitrap_urine,3.3459464,5.1504088,4.625897,6.4866715,6.2111114,5.120453,6.5287134
Stravs,4.7132205,5.2783441,7.797538,6.0489007,6.1461148,6.420808,5.5631133
Otto,8.7363292,9.4171829,11.597938,8.0353221,9.6741708,12.4573,7.1548589
Toshimitsu,3.9211784,3.5534489,2.757306,2.6693615,2.4272498,3.92158,3.7207635
Stravs_22,6.2556212,8.0584439,7.590685,6.4551587,6.9326691,7.375085,6.5217814
Matsuura_15,6.7790409,6.439856,6.196077,9.1282392,6.7359358,8.169106,6.1069279
Tohge,6.4504049,8.419919,9.899461,7.094285,7.7493117,9.845616,7.2600322
Cao_HILIC,6.0048549,5.3288443,7.966881,5.7690158,5.485601,9.063516,7.0776172
Matsuura,2.4911711,1.7515613,3.318126,2.2656848,2.161301,2.973124,2.4749536
LIFE_old,2.7954581,3.1946234,5.270504,3.3058725,3.3845971,3.414714,3.9888897
MPI_Symmetry,13.9704615,13.6748583,11.299345,10.849384,16.1037251,9.733272,15.0880074
Krauss,9.4639345,18.3330222,4.545455,8.1981077,7.8085729,8.625904,9.1436014
MTBLS36,8.5186795,12.8169509,6.999902,11.6619242,12.0264296,12.931297,12.0918401
RIKEN,3.5213544,6.4983068,7.910079,8.3950439,8.5567187,5.623176,6.8065045
Mark,7.5656419,9.7624794,7.090054,11.9100561,15.0067011,13.775569,12.2008374
LIFE_new,3.9271202,5.0303715,6.355738,6.3649747,7.1848163,6.043749,7.2509306
PFR-TK72,3.6113266,2.5017184,4.015544,3.0050374,3.6195979,6.555993,3.2848495
